"r1","r2","r3","r4","r5","unit"
0,0,0,0,0,"Vielleicht mit Beistrich?"
0,0,0,0,0,"Muss ich die Autoren alphabetisch ordnen?"
0,0,0,0,0,"Wie fügt man die Angabe mit drei Autorein, wenn man ein zweites Mal im Text darauf verweist?"
0,0,0,0,0,"Wie zitiere ich 4 oder 5 Autoren?"
0,0,0,0,0,"Wie markiere ich direkte Zitate?"
0,0,0,0,0,"Welche Medien außer Büchern kann man noch im Literaturverzeichnis angeben?"
0,1,0,1,0,"Wie zitiere ich folgendes Buch im Literaturverzeichnis?"
1,1,1,1,1,"Bitte zitiere mir folgendes Buchkapitel für das Literaturverzeichnis Autor des Kapitels: Sigmund Tobias (Vorname, Nachname) Titel des Kapitels: Anxiety and cognitive processing of instruction Titel des Buches: Self-related cognitions in anxiety and motivation Autorin des Buchs: Margarete Schneider Seiten: 45-64 Erscheinungsjahr: 2013 Verlag: Psychology Press Sitz des Verlags ist London"
1,1,1,1,1,"Bitte zitiere mir diesen Artikel"
0,0,0,0,0,"Wie kürzt APA folgende Dinge ab?"
0,0,0,0,0,"Abkürzungen:"
0,0,0,0,0,"Stichprobengröße:"
0,0,0,0,0,"Mittelwert:"
0,0,0,0,0,"Median:"
0,0,0,0,0,"Standardabweichung"
0,0,0,0,0,"t-Wert:"
0,0,0,0,0,"Angabe Wahrscheinlichkeit:"
0,0,0,0,0,"Freiheitsgrade:"
