"r1","r2","r3","r4","r5","unit"
0,0,0,1,0,"Can you explain the APA-Standards?"
0,0,0,0,1,"Yes."
0,0,0,1,0,"Ich bräuchte eine Anleitung für die Zitierregeln."
0,0,0,1,0,"Das erste Mal."
0,0,0,1,0,"Was mache ich, wenn es mehrere Autoren gibt?"
0,0,0,1,0,"Wie zitiere ich, wenn ich im Text auf die Quelle verweisen möchte?"
0,0,0,1,0,"Was mache ich, wenn ich bereits ein zweites Mal im Text auf die Quelle verweise?"
0,0,0,1,0,"Welche Arten von Quellen gibt es?"
0,0,0,1,0,"Wie zitiert man einzelne Kapitel aus Büchern im Literaturverzeichnis?"
0,0,0,1,0,"Was ist die doi-Nummer?"
0,0,0,1,0,"Ich brauche ein konkretes Beispiel dafür, wie man Artikel mit DOI-Nummer zitiert."
,0,0,0,,"Was si"
0,0,0,1,0,"Wie lauten die Abkürzungen für statistische Ergebnisse?"
0,0,0,1,0,"Wie lautet die Abkürzung für den Median?"
0,0,0,1,0,"Wie lautet die Abkürzung für die Wahrscheinlichkeit?"
