"r1","r2","r3","r4","r5","unit"
0,1,0,0,0,"Hallo, ich wollte nur kurz meine Lösung überprüfen lassen:"
0,0,0,0,0,"Die richtige Nutzung von Lernstrategien ist für den Prüfungserfolg wesentlich."
0,0,0,0,0,"(Warr und Downing, 2020)"
0,0,0,0,0,"(Warr et. al, 2020)?"
0,0,0,0,0,"(Warr & Downing, 2020)"
1,1,1,1,1,"Okay, danke."
0,1,1,1,0,"Wäre das richtig?"
0,0,0,0,0,"Ein besseres Verständnis von der Angst vor dem Erlernen einer Fremdsprache ist die Basis, um negative Lernerfahrungen zu reduzieren (ebenda)."
0,1,0,1,1,"Nein, leider nicht"
1,1,1,1,1,"Ja."
0,1,1,1,0,"Dann gibt man nur den Namen des ersten Autors gefolgt von et. al. an, denke ich."
0,0,0,0,0,"Ein besseres Verständnis von der Angst vor dem Erlernen einer Fremdsprache ist die Basis, um negative Lernerfahrungen zu reduzieren (Bailey et al., 2007)."
0,1,1,1,0,"Reicht das aus, wenn ich das Buch dann erst im Literaturverzeichnis angebe oder muss ich es im Text angeben?"
0,0,0,0,0,"„Angst ist eine Reaktion des Organismus auf eine bedrohliche Situation"" (Speichert, 2020)"
0,0,0,0,0,"„Angst ist eine Reaktion des Organismus auf eine bedrohliche Situation (Speichert, 2020)"" ."
0,1,0,1,0,"Vielleicht so?"
0,1,0,1,0,"Also so: „Angst ist eine Reaktion des Organismus auf eine bedrohliche Situation"" (Speichert, 2020, S. 80)"
1,1,1,1,1,"Ah, okay."
1,1,1,1,1,"Danke"
0,0,0,0,0,"Bei Arten von Literaturquellen habe ich: Videos, Internetseiten, Journale Studien, Zeitungen Wissenschaftliche Veröffentlichungen z. B. in Fachzeitschriften Lexika (hoffe, dass das der korrekte Plural ist)"
1,1,1,1,1,"Danke"
0,1,1,1,0,"Ist die Lösung richtig?"
0,0,0,0,0,"Deyuan He: „Foreign Language Learning Anxiety in China. Theories and Applications in Englisch Language Teaching"", Springer Singapore (Hgs), 26.01.2018"
0,0,0,1,0,"So: He, D.: „Foreign Language Learning Anxiety in China. Theories and Applications in Englisch Language Teaching"", Springer Singapore (Hgs), 2018, [https://doi.org/10....]{.underline}?"
0,0,0,1,0,"Also so: He, D. (2018). Foreign Language Learning Anxiety in China: Theories and Applications in Englisch Language Teaching. Springer Singapore. [https://doi.org/10....]{.underline}"
1,1,1,1,1,"Danke"
0,1,1,1,0,"Wie zitiere ich nun ein Kapitel aus einem Buch im Literaturvertzeichnis?"
0,1,1,1,0,"Ungefär so?"
0,0,0,0,0,"Tobias, S. (2013). Anxiety and cognitive processing of instruction (S. 45 - 64) aus Schneider, M.. Self-related cognitions in anxiety and motivation. Psychology Press"
0,0,0,0,0,"(Buch und Kapitelnamen sollen kursiv sein)"
0,0,0,0,0,"Tobias, S. (2013*)*. Anxiety and cognitive processing of instruction In M. Schneider (Hrsg.)."
0,0,0,0,0,"Self-related cognitions in anxiety and motivation (S. 45 -64). Psychology Press"
0,1,1,1,0,"So?"
1,1,1,1,1,"Okay, vielen Dank!"
0,1,1,1,0,"Stimmt die Lösung der nächsten Aufgabe?"
0,0,0,0,0,"Özütürk, G. & Hürsen, C. (2013). Determination of English Language Learning Anxiety in EFL Classrooms (S. 1899 -- 1907), [https://doi.org/10.1016/...]{.underline}"
0,0,0,0,0,"Öztürk, G., & Hürsen, Ç. (2013). Determination of English language learning anxiety in EFL classrooms. Procedia - Social and Behavioral Sciences, 84, 1899 - 1907, https://doi.org/10.16/j\...."
1,1,1,1,1,"Danke"
1,1,1,1,1,"Okay"
0,1,1,0,0,"Bin gerade bei der Aufgabe mit den Abkürzungen und kann mich nicht an die Abkürzungen von Mittelwert, Median, Standardabweichung erinnern."
0,1,0,1,0,"Vielleicht: Mt oder x strich, Md. SD ?"
0,1,0,1,0,"Vielleicht für den Mittelwert M für ""mean""?"
1,1,1,1,1,"Okay."
1,1,1,1,1,"danke"
0,1,1,1,0,"Soll ich nun mit dem Fragebogen fortfahren?"
1,1,1,1,1,"Okay."
1,1,1,1,1,"Danke dir für die Hilfe"
