"r1","r2","r3","r4","r5","unit"
1,1,1,1,1,"hey, das folgende ist wirklich wichtig, also konzentriere dich bitte"
0,0,0,0,0,"ich gebe dir jetzt ein beispiel."
0,0,1,0,0,"Diese Art von Aufgaben werden wir gleich gemeinsam bearbeiten:"
0,0,0,0,0,"In Deiner Arbeit hast Du den unteren Satz (rote Farbe) geschrieben."
0,0,0,0,0,"Er gibt eine Aussage aus einem Artikel „Students' anxiety towards learning"" sinngemäß wieder."
0,0,0,0,0,"Den Artikel hat ein Autor namens John Jegede im Jahr 2007 geschrieben."
0,0,0,0,0,"Ergänze am Ende des Satzes den Autor und das Datum, zu dem der Artikel erschienen ist, entsprechend der APA-Standards."
0,0,0,0,0,"Eine Studie zeigt, dass weibliche Schülerinnen eher von Angst vor Prüfungen betroffen sind als männliche."
0,0,0,0,0,"Die Lösung würde lauten:"
0,0,0,0,0,"Eine Studie zeigt, dass weibliche Schülerinnen eher von Angst vor Prüfungen betroffen sind als männliche (Jegede, 2007)."
1,0,1,1,1,"ich kenne mich bisher ein bisschen aus"
1,0,0,1,1,"Ja ich müsste bei zwei Autoren ein & einfügen und bei mehr als 2 AutorInnen ein et al. einfügen"
0,0,0,0,0,"Bücher oder Zeitschriftenartikel können natürlich mehrere Verfasserhaben."
1,0,1,0,1,"Wie gibt man zwei Autoran?"
0,0,0,0,0,"Die APA-Standards haben hier eine spezielle Regel."
0,0,0,0,0,"Im unteren rot geschriebenen Satz möchtest Du angeben, dass Du Dich hier auf einen Artikel von Peter Warr und Jonathon Downing aus dem Jahr 2020 beziehst."
0,0,0,0,1,"Gib die Autorund die Jahreszahl an."
1,0,1,1,1,"Wenn Du Hilfe benötigst oder Deine Lösung überprüfen möchtest, wende Dich an ChatGPT."
0,0,0,0,0,"Die richtige Nutzung von Lernstrategien ist für den Prüfungserfolg wesentlich."
0,0,0,0,0,"Diese Literaturquelle von Bailey, Daley und Buzie aus dem Jahr 2007 benutzt Du häufiger, auch im rot markierten Satz."
1,0,1,0,1,"Wie fügt man die Angabe mit drei Autorein, wenn man ein zweites Mal im Text darauf verweist?"
0,0,0,0,0,"Die APA-Standards haben auch hier eine spezielle Regel."
0,0,0,0,1,"Füge die Angabe auf die Literaturquelle im rot markierten Satz ein."
1,0,1,0,1,"oben meintest du noch, dass man bei mehr als zwei AutorInnen (also bei drei AutorInnen) zuerst kein et al benutzt"
1,0,1,0,1,"Weißt Du auch, wie man auf einen Artikel mit vier oder fünf Autorverweist?"
0,0,1,0,0,"Beschreibe die Regeln im roten Text."
0,1,0,0,1,"Jetzt geht es um direkte Zitate."
1,0,1,0,1,"Manchmal findet man eine Textstelle aus einem Buch oder Artikel so wichtig, dass man sie direkt wiedergeben möchte."
