"r1","r2","r3","r4","r5","unit"
1,1,1,1,1,"Hallo Sabine! Kann ich dir eine Frage zur Verweisung auf Artikel und Bücher stellen?"
0,0,0,0,0,"Was muss man schreiben, wenn ein Artikel oder Buch 2 Verfasserhat?"
0,0,0,1,0,"Stimmt z.B.: (Warr & Downing, 2020)?"
0,0,0,0,0,"Und wenn es mehr als 2 Verfassersind, gibt man die ersten 2 an, und den Rest mit et al., oder?"
0,0,0,1,0,"Also z.B. (Bailey, Daley, et al., 2007)?"
1,1,1,1,1,"Danke!"
0,0,0,1,0,"Wenn ich also zum 2. Mal diese Autornenne, wäre (Bailey et al., 2007) richtig, oder?"
0,0,0,1,0,"Jetzt weiß ich, wie ich vorgehen muss, wenn ich die Autorzum 2. Mal nenne."
0,0,0,0,0,"Wie gehe ich vor, wenn ich vier oder mehr zum 1. Mal nenne?"
0,0,0,0,0,"Nenne ich bei der ersten Nennung Vor- und Nachnamen?"
0,0,0,0,0,"Also Nachname erster Buchstabe Vorname, Nachname und so weiter?"
1,1,1,1,1,"Danke!"
0,0,0,1,0,"Und wenn ich ein direktes Zitat im Text habe, würde dann z.B. (Speichert 2020, S.80) stimmen?"
0,0,0,0,0,"Vielleicht wenn man es besser in den Text einbettet und die Seitenzahl dann nur im Literaturverzeichnis erwähnt?"
0,0,0,0,0,"In seinem im Jahre 2020 erschienen Buch betont Speichert: „Angst ist eine Reaktion des Organismus auf eine bedrohliche Situation""."
1,1,1,1,1,"Danke!"
0,0,0,1,0,"Kannst du mir erklären, wie ich ein Buch ins Literaturverzeichnis eintrage?"
0,0,0,0,0,"Zuerst der Titel, dann der Untertitel, dann das Jahr und der Name, oder?"
1,1,1,1,1,"Danke."
0,0,0,1,0,"Nun würde ich nurnoch gerne wissen, wie ich diese Infos anordnen muss, damit sie stimmen, und durch welche Satzzeichen ich sie trennen muss."
1,1,1,1,1,"Danke!"
0,0,0,0,0,"Würde das so stimmen?"
0,0,0,0,0,"He, D. (2018*): Foreign Language Learning Anxiety in China: Theories and Applications in English Language Teaching. *Springer Singapore. [https://doi.org/10.1007/978-981-10-7662-6]{.underline}"
0,0,0,0,0,"Foreign Language Learning Anxiety in China"
0,0,0,0,0,"This book explores the development, issues and corresponding strategies concerning Foreign Language Learning Anxiety (FLLA) in China."
1,1,1,1,1,"Vielen Dank!"
0,0,0,1,0,"Wie nenne ich ein eigenes Kapitel im Literaturverzeichnis, das sogar einen eigenen Autor hat?"
1,1,1,1,1,"Danke!"
0,0,0,0,0,"Wäre das hier beispielsweise richtig?"
0,0,0,0,0,"Tobias, S. (2013). Anxiety and cognitive processing of instruction In M. Schneider (Hrsg). *Self-related cognitions in anxiety and motivation (p. 45-64). *Psychology Press."
1,1,1,1,1,"Danke!"
0,0,0,1,0,"Wie gehe ich vor, wenn ich einen Artikel aus Zeitschriften im LV nennen möchte?"
0,0,0,0,0,"Wieder Autor, Jahr, Titel, Verlag und doi?"
0,0,0,0,0,"Wo füge ich das Volume und die Seitenzahl ein?"
0,0,0,1,0,"Kannst du mir ein Beispiel geben?"
0,0,0,0,0,"Also ich hätte den Artikel jetzt so zitiert:"
0,0,0,0,0,"Öztürk, G. & Hürsen, C. (2013). *Determination of English Language Learning Anxiety in EFL Classrooms. *Elsevier. Volume 84. Pages 1899-1907. [https://doi.org/10.1016/j.sbspro.2013.07.055]{.underline}"
1,1,1,1,1,"Danke!"
0,0,0,1,0,"Habe deine Tips angewandt und komme nun zu dem Ergebnis:"
0,0,0,0,0,"Öztürk, G. & Hürsen, C. (2013). Determination of English Language Learning Anxiety in EFL Classrooms*. Elsevier Volume 84.* Pages 1899-1907. [https://doi.org/10.1016/j.sbspro.2013.07.055]{.underline}"
0,0,0,1,0,"Ist das korrekt?"
1,1,1,1,1,"danke!"
0,0,0,1,0,"jetzt habe ich noch eine Frage zu statistischen Kennwerten:"
0,0,0,1,0,"laut APA, was ist die Abkürzung der Angabe von Wahrscheinlichkeiten?"
1,1,1,1,1,"danke!"
0,0,0,0,0,"wird beim t-Wert nur t oder t(df) geschrieben?"
