"r1","r2","r3","r4","r5","unit"
1,1,1,1,1,"Hallo Sabine, ich bin der heutige Studienteilnehmer und heiße Michael."
1,1,1,1,1,"Kannst du mir bitte schnell sagen, ob man 2 Autorim Fließtext so richtig zitiert?"
0,0,0,0,0,"(Warr/Downing, 2020), oder braucht man Vornamen und/oder andere Abtrennung dafür?"
1,1,1,1,1,"Danke, also (Warr & Downing, 2020)?"
1,1,1,1,1,"Ja danke, nur net übertreiben mit dem Lob 😋 gleich die nächste Frage zu Punkt 2, wenn 3 Autorzum 2. Mal im Text zitiert werden."
1,0,1,0,0,"Ich nehme an, da ist ein spezielles Kurzzitat gemeint und kein ""ebda.""?"
0,0,1,0,0,"Wie lautet da die APA-Regel?"
0,0,1,0,0,"""(Bailey et al., 2007)""?"
0,0,1,0,0,"Gibts allgemein kein ebd. in APA?"
1,1,1,1,1,"Danke 😉"
1,1,1,1,1,"Ich will nur ungern wegen allem fragen müssen 😅"
0,0,0,0,0,"Na gut."
1,0,1,0,0,"Kannst du mir bitte sagen, wie man das 1. Mal auf 4 oder 5 Autorim Fließtext verweist?"
0,0,0,0,0,"Also auch bei mehrern Autorenschaften beim 1. Mal alle Nachnamen in der Form wie gehabt?"
0,0,0,0,0,"""&"" zwischen allen Namen, oder zuvor Komma und beim letzten Namen ""&""?"
1,1,1,1,1,"Danke"
0,0,1,0,0,"Und bei einem wörtlichen Zitat, gebe ich da im Fließtext auch den Werktitel an, oder nur eine Seitenzahl nach der Jahreszahl, zB. ""Speichert, 2020, S. 80)""?"
0,0,1,0,0,"oder ""p. 80"", weil Englisch"
1,1,1,1,1,"👍 danke"
0,0,1,0,0,"Wie lautet die Form für eine Angabe im Literaturverzeichnis eines eigenverfassten Buches, inkl. Kursivierungen etc.?"
1,1,1,1,0,"Danke, die Zeichensetzung kenn ich, glaub ich, eh."
0,0,1,0,0,"(Was) muss ich da kursiv schreiben?"
1,1,1,1,1,"Danke"
1,1,1,1,1,"Ich weiß, ist eine Ja/Nein-Frage, bitte bei ""Nein"" korrigieren 😉"
0,0,1,0,0,"Hab grade gesehn, der Artikelautor ist jemand anders"
0,0,1,0,0,"Also: Tobias, Sigmund (2013): Anxiety and cognitive processing of instruction. In: *Self-related cognitions in anxiety and motivation. *Hrsg.: Margarete Schneider. London: Psychology Press. S. 45-64.?"
0,0,1,0,0,"Punkt nach Jahreszahl nur in diesem Fall, oder bei den vorherigen Literaturverzeichnissen auch?"
1,1,1,1,1,"alles klar, danke"
0,0,1,0,0,"Tobias, S. (2013). Anxiety and cognitive processing of instruction. In: M. Schneider (Hrsg.): *Self-related cognitions in anxiety and motivation. *S. 45-64. London: Psychology Press."
0,0,1,0,0,"Ok, wie lautet die Form für eine Literaturangabe von einem Artikel einer Zeitschrift?"
