"r1","r2","r3","r4","r5","unit"
0,0,0,0,0,"Hallo, beim indirekten Zitat werden zwei Autoren mit einem & dazwischen geschrieben."
0,1,0,0,1,"Stimmt das?"
0,0,0,0,0,"Müssen die Nachnamen Alphabetisch geordnet sein."
0,0,0,0,0,"Also im indirekten Zitat?"
1,1,1,1,1,"Danke"
0,0,0,0,0,"ich hab folgende Fragen:"
0,0,0,0,0,"Wie fügt man die Angabe mit drei Autorein, wenn man ein zweites Mal im Text darauf verweist?"
0,0,0,0,0,"Werden bei 5 Autoren alle das erste mal genannt oder nur in der Quellenangabe?"
0,0,0,0,0,"Schreibe ich im Text immer Name et al.?"
1,1,1,1,1,"Danke:)"
0,0,0,0,0,"Wir beim direkten Zitat die (Name, Jahr, S. xx) oder (Name, Jahr, xx) geschrieben."
0,0,0,0,0,"Die Form (Speichert, 2020, S. 80) gibt es bei direkten Zitaten nicht?"
1,1,1,1,1,"Lustig, ich habs auf der Uni so gelernt 🙂"
0,0,0,0,0,"Stimmt die Lösung: He, D. (2019): Applied Linguistics, Language Education, Educational Psychology. Singapore: Springer. DOI https://....?"
0,0,0,0,0,"Wie zitiert man ein Kapitel aus einem Buch?"
0,0,0,0,0,"Könntest du mir eine übersichtliche Liste erstellen wo die Zitation für Buch, Kapitel aus Buch etc?"
1,0,0,0,0,"Nach dem Schema Buch: Nachname, Erster Buchstabe Vorname. (Jahr). Titel: Untertitel. Verlag. DOI."
1,1,1,1,1,"Das wäre sehr hilfreich für die weiteren Aufgaben"
1,0,0,0,0,"So: Tobias, S. (2013). Anxiety and cognitive processing of instruction. In M. Schneider (Hrsg.). Self-related cognitions in anxiety and motivation (45-64). Psychology Press."
0,0,0,0,0,"Bitte beschreibe auch das Vorgehen für Artikel aus Zeitschriften und achte bitte darauf, dass du die Satzzeichen richtig verwendest (siehe oben (Hrsg.). 🙂"
1,1,1,1,1,"Dann kommt es zu keinen Missverständnissen"
1,1,1,1,1,"Danke."
1,0,0,0,0,"So: Trage hier Deine Lösung ein: Öztürk, G. & Hürsen, C. (2013). Procedia -- Social and Behavioral Sciences (84). 1899-1907. Doi https://..."
0,0,0,0,0,"Werden im Text, unabhängig von welcher Quelle die Information kommt, gleich zitiert?"
0,0,0,0,0,"Das bezieht sich auf keine Fragestellung."
0,0,0,0,0,"Habe ich im Text beim indirekten Zitat immer (Autor, Jahr) und beim direkten Autor (Jahr, Seite)?"
0,0,0,0,0,"Ich brauche bei den Abkürzungen noch hilfe."
1,1,0,0,0,"Die habe ich geraten: Abkürzungen:"
0,0,0,0,0,"Stichprobengröße: SP"
0,0,0,0,0,"Mittelwert: M"
0,0,0,0,0,"Median:"
0,0,0,0,0,"Standardabweichung: SD"
0,0,0,0,0,"t-Wert: t"
0,0,0,0,0,"Angabe Wahrscheinlichkeit: p"
0,0,0,0,0,"Freiheitsgrade:"
1,1,1,1,1,"danke"
