"r1","r2","r3","r4","r5","unit"
1,1,1,1,1,"Hallo!"
0,0,0,0,0,"Wenn ich zwei Autorzitieren möchte, sollte ich sie dann alphabetisch angeben?"
0,0,0,0,0,"Also z.B. (Downing & Warr, 2020) oder sollte ich überhaupt nur (Downing et al., 2020) schreiben?"
1,1,1,1,1,"Dankeschön."
0,0,0,0,0,"Wenn ich auf eine Arbeit nicht zum 1. Mal verweise, dann muss ich nur z.B. (Bailey et al., 2007) schreiben."
0,0,0,0,0,"Stimmt das?"
0,0,0,0,0,"Okay, das war mit drei Autor."
0,0,0,0,0,"Wenn ich nun aber auf einen Artikel mit 4 oder 5 Autorverweisen möchte, muss ich dann beim ersten mal alle angeben?"
0,0,0,0,0,"Ich nehme an, dass ich sie beim zweiten mal wieder so wie beim letzten Beispiel angeben muss."
0,0,0,0,0,"Wie gibt man direkte Zitate im Text an?"
0,0,0,0,0,"(Speichert, 2020, S.80) ?"
0,0,0,0,0,"Achso."
0,0,0,0,0,"Aber die Jahreszahl und Seitenanzahl sollten immer in Klammern stehen, oder müssen sie das auch nicht?"
0,0,0,0,0,"Wenn man ein ganzes Buch im Literaturverzeichnis zitieren möchte, ist die Reihenfolge dann diese: Nachname, Vorname. Jahr. Titel. Subtitel. Verlag.?"
0,0,0,0,0,"Muss man noch mehr Infos inkludieren?"
0,0,1,0,0,"So?"
0,0,0,0,0,"He, D. (2018) Foreign Language Learning Anxiety in China -- Theories and Applications in English Language Teaching. Springer Singapore. https://doi.org/10.1007/978-981-10-7662-6"
0,0,0,0,0,"Foreign Language Learning Anxiety in China"
0,0,0,0,0,"This book explores the development, issues and corresponding strategies concerning Foreign Language Learning Anxiety (FLLA) in China."
0,0,0,0,0,"kann es sein dass ich den Verlag noch kursiv schreiben muss?"
1,1,1,1,1,"okay dankeschön 🙂"
0,0,0,0,0,"Wenn ich ein Buchkapitel angeben möchte hätte ich es so gemacht: Tobias, S. (2013). Self-related cognitions in anxiety and motivation. Anxiety and cognitive processing of instruction. Psychology Press. S. 45-64."
0,0,0,0,0,"Ich weiß allerdings nicht wo ich die Autorin des Buches selbst angeben soll."
0,0,0,0,0,"Mit Buchtitel und Kapitelname bin ich mir auch nicht sicher."
0,0,0,0,0,"Also so?"
0,0,0,0,0,"Tobias, S. (2013). Anxiety and cognitive processing of instruction ln M. Schneider (Hrsg.). Self-related cognitions in anxiety and motivation. (45-64). Psychology Press."
1,1,1,1,1,"alles klar, danke"
1,1,1,1,1,"like 1"
0,0,0,0,0,"Die nächste Aufgabe hätte ich so gelöst (Artikel): Özütürk, G. & Hürsen, C. (2013). Determination of English Language Learning Anxiety in EFL Classrooms. Procedia -- Social and Behavioral Sciences. 84. https://doi.org/10.1016/j.sbspro.2013.07.055Redirecting"
1,1,1,1,1,"danke 🙂"
0,0,0,0,0,"Stimmen die Abkürzungen so?"
0,0,0,0,0,"Beim Median bin ich mir nicht mehr sicher."
0,0,0,0,0,"Und bzgl. kursiv oder nicht kursiv auch nicht."
0,0,0,0,0,"Stichprobengröße: N"
0,0,0,0,0,"Mittelwert: M"
0,0,0,0,0,"Median: MD"
0,0,0,0,0,"Standardabweichung: SD"
0,0,0,0,0,"t-Wert: t"
0,0,0,0,0,"Angabe Wahrscheinlichkeit: p"
0,0,0,0,0,"Freiheitsgrade: df"
1,1,1,1,1,"Super, eine Frage hätte ich noch bezüglich einer der ersten Aufgaben:"
0,0,0,0,0,"Wenn ich im Text mehr als 3 Autorangeben muss, verwende ich dann, wenn ich die Nachnamen aufzähler eher einen Beistrich oder einen Punktstrich?"
1,1,1,1,1,"Danke für die Hilfe."
1,1,1,1,1,"🙂"
1,1,1,1,1,"danke 🙂 das wärs gewesen."
1,1,1,1,1,"danke, ebenfalls😌"
