"r1","r2","r3","r4","r5","unit"
0,0,0,0,0,"was geschah alles am 26.04?"
0,0,0,0,0,"Zitierregel"
0,0,0,0,0,"apa füe 3 AUtoren"
0,0,0,0,0,"mit et. al ab der zweitnennung"
0,0,0,0,0,"erstzitat quelle mit 5 Autoren apa standard"
0,0,0,0,0,"apa dirketzitat regeln"
0,0,0,0,0,"nein kenn eden Unterscheid nicht"
0,0,0,0,0,"bracu man bei direktzitaten von Büchern den Buchtitel"
0,0,0,0,0,"wie zeitiere ich Kapitel aus einem Buch im Literatirverzeichnis ?"
0,0,0,0,0,"nenne ich zuerst den autor des Buches oder Names ds KApitel"
0,0,0,0,0,"Gibt man im Literaturverzeichnis alle AUtoren an?"
0,0,0,0,0,"wie zitiere ich Artikel im Literaturverzeichnis mit Seitenagben und Doi nummer"
0,0,0,0,0,"was sind Unterscheid im Zitieren zischen Zeitschriftenartikel und ARtikel im Büchern?"
0,0,0,0,0,"Speichern und absenden"
0,0,0,0,0,"Abbrechen"
0,0,0,0,0,"Welche ABkütuingen werden Kursiv geschreiben ?"
0,0,0,0,0,"bei anwendung t im Fleißtext wird es kurisv geschrieben ?"
0,0,0,0,0,"df wird im Text nicht kurisv geschreiben oder?"
1,1,1,1,1,"Vielen DANK FÜR DEI hILFE"
